,date,category,connections
1864,2024-09-20,words after “kitty”,"['cat', 'corner', 'hawk', 'litter']"
1865,2024-09-20,"characters in “the empire strikes back,"" familiarly","['boba', 'chewie', 'emperor', 'solo']"
1866,2024-09-20,somebody,"['character', 'individual', 'party', 'person']"
1867,2024-09-20,presume,"['figure', 'imagine', 'suspect', 'think']"
1868,2024-09-21,extremely,"['awful', 'bloody', 'real', 'way']"
1869,2024-09-21,“great job!”,"['impressive', 'nice', 'props', 'well done']"
1870,2024-09-21,special edition adjectives,"['collectible', 'exclusive', 'limited', 'rare']"
1871,2024-09-21,clairvoyant,"['medium', 'mystic', 'oracle', 'psychic']"
1872,2024-09-22,what “bronze” might mean,"['alloy', 'sculpture', 'suntan', 'third']"
1873,2024-09-22,chance to win a prize,"['drawing', 'lottery', 'pool', 'raffle']"
1874,2024-09-22,file menu options,"['new', 'open', 'print', 'save']"
1875,2024-09-22,color types,"['grayscale', 'neon', 'neutral', 'pastel']"
1876,2024-09-23,___ park,"['amusement', 'national', 'parallel', 'south']"
1877,2024-09-23,member of a cartoon duo,"['chip', 'rocky', 'scratchy', 'stitch']"
1878,2024-09-23,bit of land for growing,"['bed', 'parcel', 'patch', 'plot']"
1879,2024-09-23,"not smooth, as terrain","['bumpy', 'rough', 'rugged', 'uneven']"
1880,2024-09-24,online personality,"['ambassador', 'influencer', 'model', 'streamer']"
1881,2024-09-24,bit of party decoration,"['balloon', 'banner', 'confetti', 'garland']"
1882,2024-09-24,procure in advance,"['book', 'charter', 'reserve', 'secure']"
1883,2024-09-24,inspired,"['creative', 'fresh', 'novel', 'original']"
1884,2024-09-25,___ derby,"['demolition', 'home run', 'kentucky', 'soap box']"
1885,2024-09-25,food named after cities,"['broil', 'cheesesteak', 'sprouts', 'wings']"
1886,2024-09-25,needs for painting a room,"['drop cloth', 'paint', 'roller', 'tape']"
1887,2024-09-25,trio of sports achievements,"['hat trick', 'threepeat', 'trifecta', 'triple crown']"
1888,2024-09-26,string ___,"['bean', 'bikini', 'cheese', 'theory']"
1889,2024-09-26,specifications for a bartender,"['dry', 'neat', 'straight', 'virgin']"
1890,2024-09-26,"increase, in a way","['grow', 'mount', 'swell', 'wax']"
1891,2024-09-26,decorative edge,"['border', 'frill', 'fringe', 'trim']"
1892,2024-09-27,"sci-fi movies, with “the”","['abyss', 'fly', 'matrix', 'thing']"
1893,2024-09-27,actions in fantasy sports,"['bench', 'draft', 'start', 'trade']"
1894,2024-09-27,significance,"['gravity', 'import', 'substance', 'weight']"
1895,2024-09-27,area of high ground,"['bank', 'dune', 'hill', 'mound']"
1896,2024-09-28,___ control,"['birth', 'cruise', 'quality', 'remote']"
1897,2024-09-28,items in a monopoly box,"['deed', 'hotel', 'house', 'token']"
1898,2024-09-28,embed,"['lodge', 'plant', 'stick', 'wedge']"
1899,2024-09-28,composite,"['blend', 'compound', 'cross', 'hybrid']"
1900,2024-09-29,cabinet departments,"['energy', 'justice', 'labor', 'state']"
1901,2024-09-29,actions in card games,"['discard', 'draw', 'pass', 'play']"
1902,2024-09-29,bedding,"['blanket', 'sham', 'sheet', 'throw']"
1903,2024-09-29,"make good on, as a promise","['fulfill', 'honor', 'keep', 'uphold']"
1904,2024-09-30,capital city homophones,"['keto', 'roam', 'sophia', 'soul']"
1905,2024-09-30,characters with pet dogs,"['charlie', 'dorothy', 'shaggy', 'wallace']"
1906,2024-09-30,common perfume ingredients,"['ambergris', 'musk', 'rose', 'vanilla']"
1907,2024-09-30,cook with heat and water,"['blanch', 'boil', 'poach', 'steam']"
1908,2024-10-01,dishwasher cycles,"['normal', 'quick', 'rinse', 'sanitize']"
1909,2024-10-01,fast-moving water,"['cascade', 'current', 'rapid', 'wave']"
1910,2024-10-01,fitness,"['condition', 'form', 'health', 'shape']"
1911,2024-10-01,flustered state,"['lather', 'stew', 'sweat', 'tizzy']"
1912,2024-10-02,distinctive number of arms (or lack thereof),"['octopus', 'shiva', 'slot machine', 'venus de milo']"
1913,2024-10-02,robert de niro films,"['casino', 'heat', 'joker', 'taxi driver']"
1914,2024-10-02,use a kitchen knife,"['cube', 'dice', 'julienne', 'slice']"
1915,2024-10-02,put on the line,"['bet', 'chance', 'gamble', 'risk']"
1916,2024-10-03,bugs plus starting letter,"['blouse', 'pant', 'smite', 'stick']"
1917,2024-10-03,item sold in pairs,"['bookend', 'earbud', 'ski', 'sock']"
1918,2024-10-03,care for a plant,"['fertilize', 'pot', 'prune', 'water']"
1919,2024-10-03,beverages,"['juice', 'milk', 'punch', 'soda']"
1920,2024-10-04,___ date,"['delivery', 'dinner', 'dream', 'due']"
1921,2024-10-04,disney characters,"['daisy', 'dale', 'doc', 'dory']"
1922,2024-10-04,small amount,"['dab', 'dash', 'dollop', 'drop']"
1923,2024-10-04,concavity,"['dent', 'dimple', 'ding', 'divot']"
1924,2024-10-05,brands that have become generic terms,"['chapstick', 'jacuzzi', 'q-tip', 'xerox']"
1925,2024-10-05,involved in a dentist visit,"['drill', 'sink', 'toothbrush', 'x-ray']"
1926,2024-10-05,kinds of underwear,"['bikini', 'g-string', 'hipster', 'thong']"
1927,2024-10-05,steak cuts,"['filet', 'hanger', 'skirt', 't-bone']"
1928,2024-10-06,___ cheese,"['cottage', 'cream', 'goat', 'string']"
1929,2024-10-06,pages on a website,"['about', 'contact', 'home', 'login']"
1930,2024-10-06,things cats do,"['knead', 'purr', 'scratch', 'shed']"
1931,2024-10-06,turn tail,"['flee', 'leave', 'retreat', 'withdraw']"
1932,2024-10-07,famous primates,"['bubbles', 'george', 'king kong', 'koko']"
1933,2024-10-07,sounds of laughter,"['har-har', 'hoot', 'whoop', 'yuk']"
1934,2024-10-07,car onomatopoeia,"['beep beep', 'purr', 'skrrt', 'vroom']"
1935,2024-10-07,knucklehead,"['ding-dong', 'dodo', 'yahoo', 'yo-yo']"
1936,2024-10-08,candy ___,"['apple', 'bar', 'cane', 'corn']"
1937,2024-10-08,found on sheet music,"['accidental', 'note', 'rest', 'staff']"
1938,2024-10-08,prohibit,"['ban', 'block', 'deny', 'forbid']"
1939,2024-10-08,halloween symbols,"['bat', 'pumpkin', 'spider', 'witch']"
1940,2024-10-09,ending with tableware,"['boilerplate', 'buttercup', 'jackknife', 'witherspoon']"
1941,2024-10-09,music publications,"['billboard', 'mojo', 'pitchfork', 'spin']"
1942,2024-10-09,burgeon,"['blossom', 'develop', 'mature', 'progress']"
1943,2024-10-09,effervescence,"['bubbles', 'fizz', 'foam', 'froth']"
1944,2024-10-10,words in “do-re-mi”,"['doe', 'far', 'sew', 'tea']"
1945,2024-10-10,movies,"['big', 'elf', 'her', 'saw']"
1946,2024-10-10,"cool, in ’80s slang","['bad', 'fly', 'ill', 'rad']"
1947,2024-10-10,body parts,"['arm', 'eye', 'hip', 'leg']"
1948,2024-10-11,brashness,"['brass', 'cheek', 'nerve', 'sauce']"
1949,2024-10-11,additional benefit,"['bonus', 'extra', 'frosting', 'gravy']"
1950,2024-10-11,quick jump in the pool,"['dip', 'dive', 'splash', 'swim']"
1951,2024-10-11,cherish,"['relish', 'savor', 'treasure', 'value']"
1952,2024-10-12,starts of cell phone makers,"['app', 'goo', 'motor', 'sam']"
1953,2024-10-12,bird onomatopoeia,"['coo', 'gobble', 'honk', 'hoot']"
1954,2024-10-12,tolerate,"['bear', 'stand', 'swallow', 'take']"
1955,2024-10-12,draped accessories,"['scarf', 'shawl', 'stole', 'wrap']"
1956,2024-10-13,___ roll,"['california', 'drum', 'egg', 'honor']"
1957,2024-10-13,kinds of pants,"['capri', 'cargo', 'hammer', 'stirrup']"
1958,2024-10-13,road runner cartoon staples,"['anvil', 'boulder', 'coyote', 'tnt']"
1959,2024-10-13,made of keratin,"['claw', 'hoof', 'horn', 'nail']"
1960,2024-10-14,things that can have leaves,"['book', 'salad', 'table', 'tree']"
1961,2024-10-14,ways to wear your hair up,"['bun', 'braid', 'pony', 'twist']"
1962,2024-10-14,sounds of thunder,"['clap', 'peal', 'roll', 'rumble']"
1963,2024-10-14,rummage,"['comb', 'dig', 'root', 'sift']"
1964,2024-10-15,what “d” might stand for,"['defense', 'democrat', 'dimensional', 'drive']"
1965,2024-10-15,fictional clowns,"['homey', 'joker', 'pennywise', 'ronald']"
1966,2024-10-15,cable channels,"['discovery', 'history', 'nickelodeon', 'oxygen']"
1967,2024-10-15,football positions,"['center', 'guard', 'quarterback', 'safety']"
1968,2024-10-16,what the outstretched index and middle fingers can represent,"['peace', 'scissors', 'two', 'victory']"
1969,2024-10-16,bit of breakfast cereal,"['cheerio', 'flake', 'pebble', 'puff']"
1970,2024-10-16,parts of a tournament setup,"['bracket', 'bye', 'round', 'seed']"
1971,2024-10-16,at some future point,"['eventually', 'later', 'next', 'soon']"
1972,2024-10-17,___ law,"['criminal', 'harvard', 'lemon', 'natural']"
1973,2024-10-17,movies with “s” removed,"['car', 'goodfella', 'jaw', 'swinger']"
1974,2024-10-17,deal with,"['address', 'answer', 'field', 'handle']"
1975,2024-10-17,grassy area,"['green', 'lawn', 'park', 'yard']"
1976,2024-10-18,amazon ___,"['kindle', 'prime', 'rainforest', 'river']"
1977,2024-10-18,non-cash way to pay,"['card', 'charge', 'credit', 'plastic']"
1978,2024-10-18,opportunity,"['chance', 'shot', 'time', 'turn']"
1979,2024-10-18,clunker,"['bust', 'dud', 'flop', 'miss']"
1980,2024-10-19,video game franchises,"['civilization', 'halo', 'madden', 'metroid']"
1981,2024-10-19,things that might sting,"['insult', 'jellyfish', 'nettle', 'wasp']"
1982,2024-10-19,things that are often scented,"['candle', 'incense', 'lotion', 'soap']"
1983,2024-10-19,bring about,"['generate', 'inspire', 'prompt', 'provoke']"
1984,2024-10-20,homophones of coordinating conjunctions,"['butt', 'fore', 'oar', 'sew']"
1985,2024-10-20,table tennis needs,"['ball', 'net', 'paddle', 'table']"
1986,2024-10-20,noisy disturbance,"['clatter', 'racket', 'row', 'ruckus']"
1987,2024-10-20,bit of newspaper writing,"['article', 'column', 'feature', 'story']"
1988,2024-10-21,___pool,"['car', 'dead', 'liver', 'whirl']"
1989,2024-10-21,automatic gear shifter positions,"['drive', 'low', 'neutral', 'reverse']"
1990,2024-10-21,attract,"['draw', 'grab', 'hook', 'pull']"
1991,2024-10-21,kinds of beans,"['kidney', 'mung', 'navy', 'pinto']"
1992,2024-10-22,games where you say the game’s name,"['bingo', 'marco polo', 'tag', 'uno']"
1993,2024-10-22,nasa spacecraft,"['galileo', 'pioneer', 'viking', 'voyager']"
1994,2024-10-22,devise,"['concoct', 'engineer', 'hatch', 'mastermind']"
1995,2024-10-22,brand-name,"['designer', 'haute', 'high-end', 'luxury']"
1996,2024-10-23,purple ___,"['haze', 'heart', 'prose', 'rain']"
1997,2024-10-23,blue ___,"['jay', 'jeans', 'moon', 'whale']"
1998,2024-10-23,green ___,"['beret', 'goblin', 'salad', 'thumb']"
1999,2024-10-23,yellow ___,"['cab', 'jacket', 'journalism', 'pages']"
2000,2024-10-24,french words,"['adieu', 'belle', 'pain', 'temps']"
2001,2024-10-24,things made by folding paper,"['airplane', 'crane', 'fan', 'fortune teller']"
2002,2024-10-24,nyt offerings,"['audio', 'cooking', 'games', 'news']"
2003,2024-10-24,lineup,"['bill', 'program', 'schedule', 'slate']"
2004,2024-10-25,“pan”,"['bad review', 'camera movement', 'cookware', 'satyr']"
2005,2024-10-25,iphone message tapback responses,"['exclamation points', 'heart', 'question mark', 'thumbs up']"
2006,2024-10-25,event with dancing,"['ball', 'formal', 'hop', 'rave']"
2007,2024-10-25,•,"['dot', 'period', 'point', 'tittle']"
2008,2024-10-26,cylinder-shaped things,"['can', 'roller', 'silo', 'spool']"
2009,2024-10-26,places to lie/sit that move,"['cradle', 'hammock', 'rocker', 'swing']"
2010,2024-10-26,series of messages,"['chain', 'chat', 'conversation', 'thread']"
2011,2024-10-26,fluster,"['faze', 'rattle', 'ruffle', 'throw']"
2012,2024-10-27,the little ___,"['mermaid', 'prince', 'rascals', 'tramp']"
2013,2024-10-27,units,"['bar', 'bel', 'lux', 'mole']"
2014,2024-10-27,ambience,"['air', 'mood', 'feeling', 'quality']"
2015,2024-10-27,sassy,"['cute', 'fresh', 'smart', 'wise']"
2016,2024-10-28,magic words,"['abracadabra', 'please', 'presto', 'thank you']"
2017,2024-10-28,church of england wedding vow verbs,"['cherish', 'have', 'hold', 'love']"
2018,2024-10-28,indicate,"['mean', 'signify', 'spell', 'suggest']"
2019,2024-10-28,audio apps,"['audible', 'pandora', 'shazam', 'tidal']"
2020,2024-10-29,___ square,"['perfect', 'pocket', 'times', 'town']"
2021,2024-10-29,singular noun in a famous “julius caesar” line,"['countryman', 'ear', 'friend', 'roman']"
2022,2024-10-29,medical roles,"['attending', 'fellow', 'intern', 'resident']"
2023,2024-10-29,in pristine condition,"['mint', 'new', 'original', 'unused']"
2024,2024-10-30,retail chains with a letter changed,"['best boy', 'idea', 'kroner', 'stables']"
2025,2024-10-30,kinds of tape,"['duct', 'electrical', 'gaffer', 'packing']"
2026,2024-10-30,things with wheels,"['dolly', 'rollerblade', 'skateboard', 'wagon']"
2027,2024-10-30,upswing,"['boom', 'rise', 'spike', 'surge']"
2028,2024-10-31,___ hunt,"['egg', 'job', 'scavenger', 'witch']"
2029,2024-10-31,sports cars,"['diablo', 'mustang', 'spider', 'viper']"
2030,2024-10-31,things you can do with your eyelids,"['bat', 'blink', 'flutter', 'wink']"
2031,2024-10-31,terms of endearment,"['darling', 'love', 'pumpkin', 'treasure']"
2032,2024-11-01,___ effect,"['butterfly', 'domino', 'halo', 'placebo']"
2033,2024-11-01,cheesy corn snack unit,"['ball', 'curl', 'doodle', 'puff']"
2034,2024-11-01,ways to order a beer,"['bottle', 'can', 'draft', 'tap']"
2035,2024-11-01,progress slowly,"['crawl', 'creep', 'drag', 'inch']"
2036,2024-11-02,kinds of earrings,"['chandelier', 'drop', 'hoop', 'stud']"
2037,2024-11-02,core exercises,"['boat', 'crunch', 'mountain climber', 'plank']"
2038,2024-11-02,group of advisors,"['board', 'cabinet', 'council', 'panel']"
2039,2024-11-02,seen in a kitchen,"['counter', 'fridge', 'range', 'sink']"
2040,2024-11-03,easy ___,"['chair', 'listening', 'money', 'street']"
2041,2024-11-03,legal session,"['hearing', 'inquiry', 'proceeding', 'trial']"
2042,2024-11-03,sneaking suspicion,"['feeling', 'hunch', 'impression', 'sense']"
2043,2024-11-03,heartwarming,"['moving', 'sweet', 'tender', 'touching']"
2044,2024-11-04,words with apostrophes removed,"['cant', 'id', 'shell', 'were']"
2045,2024-11-04,furniture,"['chest', 'console', 'vanity', 'wardrobe']"
2046,2024-11-04,individuality,"['being', 'character', 'ego', 'self']"
2047,2024-11-04,equip,"['furnish', 'outfit', 'provision', 'stock']"
2048,2024-11-05,magic ___,"['carpet', 'kingdom', 'marker', 'mushroom']"
2049,2024-11-05,figures in “shrek”,"['donkey', 'dragon', 'ogre', 'princess']"
2050,2024-11-05,things with shells,"['clam', 'egg', 'nut', 'turtle']"
2051,2024-11-05,things that are fuzzy,"['caterpillar', 'fleece', 'peach', 'pipe cleaner']"
2052,2024-11-06,things with feet,"['biped', 'furniture', 'poem', 'yardstick']"
2053,2024-11-06,communicate through writing,"['correspond', 'message', 'text', 'write']"
2054,2024-11-06,groundbreaking,"['different', 'new', 'novel', 'original']"
2055,2024-11-06,dvr buttons,"['pause', 'play', 'record', 'stop']"
2056,2024-11-07,anagrams of famous painters,"['dial', 'egads', 'monte', 'yoga']"
2057,2024-11-07,info on a museum placard,"['artist', 'medium', 'title', 'year']"
2058,2024-11-07,public standing,"['character', 'image', 'name', 'reputation']"
2059,2024-11-07,food-related jumbles,"['hash', 'salad', 'scramble', 'stew']"
2060,2024-11-08,cut the ___,"['cheese', 'cord', 'deck', 'mustard']"
2061,2024-11-08,risqué,"['adult', 'blue', 'spicy', 'suggestive']"
2062,2024-11-08,kinds of pickles,"['dill', 'kosher', 'sour', 'sweet']"
2063,2024-11-08,escapade,"['antic', 'caper', 'exploit', 'stunt']"
2064,2024-11-09,words before “room” to mean lavatory,"['bath', 'powder', 'rest', 'throne']"
2065,2024-11-09,algebra terms,"['exponent', 'power', 'radical', 'root']"
2066,2024-11-09,smallest amount,"['lick', 'ounce', 'shred', 'trace']"
2067,2024-11-09,contorted,"['bent', 'gnarly', 'twisted', 'warped']"
2068,2024-11-10,things that swing,"['golfer', 'pendulum', 'saloon doors', 'swing']"
2069,2024-11-10,n.f.l. team member,"['cowboy', 'jet', 'ram', 'raven']"
2070,2024-11-10,guide,"['pilot', 'usher', 'shepherd', 'steer']"
2071,2024-11-10,barrel-shaped container,"['cask', 'cylinder', 'drum', 'tank']"
2072,2024-11-11,___ bird,"['big', 'early', 'lady', 'sue']"
2073,2024-11-11,kinds of bras,"['demi', 'push-up', 'sports', 'wireless']"
2074,2024-11-11,gist,"['core', 'meat', 'substance', 'thrust']"
2075,2024-11-11,candy bars,"['crunch', 'dove', 'mars', 'payday']"
2076,2024-11-12,features of justice personified,"['blindfold', 'robe', 'scales', 'sword']"
2077,2024-11-12,laptop specs,"['ram', 'resolution', 'speed', 'storage']"
2078,2024-11-12,vegetable units,"['clove', 'floret', 'spear', 'stalk']"
2079,2024-11-12,complain,"['bellyache', 'carp', 'crab', 'grumble']"
2080,2024-11-13,words that seem longer written than spoken,"['colonel', 'pharaoh', 'wednesday', 'worcestershire']"
2081,2024-11-13,concerns for a dentist,"['calculus', 'cavity', 'plaque', 'tartar']"
2082,2024-11-13,building add-ons,"['addition', 'annex', 'extension', 'wing']"
2083,2024-11-13,things that are yellow,"['canary', 'lemon', 'minion', 'mustard']"
2084,2024-11-14,forms of sugar,"['cube', 'grain', 'powder', 'syrup']"
2085,2024-11-14,words on a restaurant receipt,"['tax', 'tip', 'total', 'signature']"
2086,2024-11-14,play music with passion,"['groove', 'jam', 'rock', 'shred']"
2087,2024-11-14,deplete,"['drain', 'empty', 'exhaust', 'sap']"
2088,2024-11-15,___ of time,"['nick', 'passage', 'sands', 'waste']"
2089,2024-11-15,instruments you blow into,"['jug', 'pipe', 'recorder', 'whistle']"
2090,2024-11-15,elements of writing,"['letter', 'phrase', 'sentence', 'word']"
2091,2024-11-15,fissure,"['crack', 'hole', 'leak', 'puncture']"
2092,2024-11-16,go ___,"['bananas', 'commando', 'figure', 'rogue']"
2093,2024-11-16,college football team members,"['gator', 'sooner', 'volunteer', 'wolverine']"
2094,2024-11-16,kinds of hats,"['beret', 'derby', 'pillbox', 'snapback']"
2095,2024-11-16,things that prevent leaks,"['cap', 'cover', 'plug', 'seal']"
2096,2024-11-17,what an apostrophe might indicate,"['contraction', 'foot', 'possessive', 'quotation']"
2097,2024-11-17,occasions when one might kneel,"['apology', 'dubbing', 'prayer', 'proposal']"
2098,2024-11-17,close-fitting,"['clingy', 'sleek', 'slinky', 'snug']"
2099,2024-11-17,alliance,"['association', 'guild', 'league', 'union']"
2100,2024-11-18,___ crab,"['fiddler', 'hermit', 'horseshoe', 'spider']"
2101,2024-11-18,things with spots,"['dalmatian', 'die', 'domino', 'ladybug']"
2102,2024-11-18,monthly expenses,"['gas', 'internet', 'phone', 'rent']"
2103,2024-11-18,used in hair care,"['comb', 'dryer', 'hairspray', 'rollers']"
2104,2024-11-19,double ___,"['agent', 'dribble', 'jeopardy', 'standard']"
2105,2024-11-19,pasta shapes,"['ear', 'elbow', 'ribbon', 'wheel']"
2106,2024-11-19,ways to unlock a device,"['face', 'fingerprint', 'password', 'pin']"
2107,2024-11-19,area of expertise,"['concentration', 'field', 'focus', 'specialty']"
2108,2024-11-20,"organizational structures, metaphorically","['chain', 'ladder', 'pyramid', 'tree']"
2109,2024-11-20,cocktail-making verbs,"['garnish', 'muddle', 'stir', 'strain']"
2110,2024-11-20,"broadcast, as online media","['air', 'play', 'run', 'stream']"
2111,2024-11-20,sound like a dog,"['bark', 'bay', 'howl', 'snarl']"
2112,2024-11-21,starts of pasta names,"['fett', 'penn', 'torte', 'zit']"
2113,2024-11-21,"marine invertebrates, familiarly","['coral', 'jelly', 'sponge', 'star']"
2114,2024-11-21,spheres in milk tea,"['boba', 'bubble', 'pearl', 'tapioca']"
2115,2024-11-21,kinds of shirts,"['flannel', 'oxford', 'polo', 'tee']"
2116,2024-11-22,“___ island”,"['fantasy', 'love', 'shutter', 'treasure']"
2117,2024-11-22,work communication platforms,"['meet', 'slack', 'teams', 'zoom']"
2118,2024-11-22,point of view,"['angle', 'lens', 'perspective', 'position']"
2119,2024-11-22,publicity,"['attention', 'coverage', 'exposure', 'press']"
2120,2024-11-23,black or red,"['balance sheet', 'checkers', 'licorice', 'roulette']"
2121,2024-11-23,things on sticks,"['ball-in-cup', 'corn dog', 'cotton swab', 'lollipop']"
2122,2024-11-23,secreted by trees,"['gum', 'latex', 'resin', 'sap']"
2123,2024-11-23,telling of events,"['account', 'chronicle', 'description', 'story']"
2124,2024-11-24,words after “ash”,"['blond', 'tray', 'tree', 'wednesday']"
2125,2024-11-24,electronic dance music genres,"['ambient', 'house', 'jungle', 'trance']"
2126,2024-11-24,what a noun might be,"['idea', 'person', 'place', 'thing']"
2127,2024-11-24,careen,"['heave', 'lurch', 'pitch', 'reel']"
2128,2024-11-25,associated principles in chinese philosophy,"['expansive', 'light', 'masculine', 'yang']"
2129,2024-11-25,parts of a ship,"['anchor', 'bow', 'bridge', 'deck']"
2130,2024-11-25,large group,"['crowd', 'flock', 'host', 'sea']"
2131,2024-11-25,attain,"['earn', 'land', 'score', 'win']"
2132,2024-11-26,featured in “eloise”,"['eloise', 'plaza', 'pug', 'turtle']"
2133,2024-11-26,kinds of crackers,"['animal', 'club', 'goldfish', 'ritz']"
2134,2024-11-26,disregard,"['discount', 'forget', 'ignore', 'overlook']"
2135,2024-11-26,good things to get at work,"['bonus', 'equity', 'promotion', 'raise']"
2136,2024-11-27,___ band,"['boy', 'rubber', 'tribute', 'wedding']"
2137,2024-11-27,what a sitter might sit,"['baby', 'house', 'pet', 'plant']"
2138,2024-11-27,car parts,"['bumper', 'grille', 'mirror', 'rim']"
2139,2024-11-27,not working reliably,"['buggy', 'erratic', 'glitchy', 'spotty']"
2140,2024-11-28,___ tuesday,"['fat', 'giving', 'super', 'taco']"
2141,2024-11-28,eat voraciously,"['bolt', 'down', 'gobble', 'scarf']"
2142,2024-11-28,fraudster,"['cheat', 'con', 'fake', 'quack']"
2143,2024-11-28,appreciation,"['credit', 'praise', 'recognition', 'thanks']"
2144,2024-11-29,first words of hbo shows,"['boardwalk', 'curb', 'game', 'silicon']"
2145,2024-11-29,m.l.b. team member,"['national', 'ray', 'tiger', 'twin']"
2146,2024-11-29,units,"['hertz', 'mole', 'second', 'volt']"
2147,2024-11-29,undertaking,"['endeavor', 'enterprise', 'project', 'venture']"
2148,2024-11-30,___ball pitches,"['curve', 'fast', 'knuckle', 'screw']"
2149,2024-11-30,perform well on,"['ace', 'crush', 'nail', 'rock']"
2150,2024-11-30,steal,"['lift', 'palm', 'pocket', 'swipe']"
2151,2024-11-30,dance styles,"['jazz', 'modern', 'swing', 'tap']"
2152,2024-12-01,“free ___”,"['bird', 'fallin’', 'solo', 'willy']"
2153,2024-12-01,candy names,"['charms', 'kinder', 'wonka', 'york']"
2154,2024-12-01,football gear,"['cleats', 'helmet', 'jersey', 'pads']"
2155,2024-12-01,sanctuary,"['haven', 'port', 'retreat', 'shelter']"
2156,2024-12-02,___ clip,"['alligator', 'hair', 'paper', 'video']"
2157,2024-12-02,icon embroidered on a polo shirt,"['crocodile', 'laurel', 'polo player', 'swoosh']"
2158,2024-12-02,things involving mallets,"['carpentry', 'croquet', 'whac-a-mole', 'xylophone']"
2159,2024-12-02,announce,"['broadcast', 'declare', 'herald', 'trumpet']"
2160,2024-12-03,names that sound like two letters,"['cece', 'edie', 'emmy', 'katie']"
2161,2024-12-03,“sesame street” characters,"['cookie', 'count', 'oscar', 'snuffy']"
2162,2024-12-03,familial nicknames,"['cuz', 'grammy', 'mummy', 'pop']"
2163,2024-12-03,sopranos,"['carmela', 'junior', 'meadow', 'tony']"
2164,2024-12-04,starting with synonyms for lavatory,"['candle', 'loofah', 'johnson', 'toiletries']"
2165,2024-12-04,figures in greek myth,"['atlas', 'echo', 'helen', 'pan']"
2166,2024-12-04,things with needle/s,"['compass', 'pine tree', 'sewing kit', 'turntable']"
2167,2024-12-04,steer,"['direct', 'guide', 'lead', 'shepherd']"
2168,2024-12-05,___stone,"['brim', 'lime', 'rhine', 'yellow']"
2169,2024-12-05,tech companies,"['amazon', 'apple', 'intuit', 'oracle']"
2170,2024-12-05,exterior,"['face', 'front', 'outside', 'surface']"
2171,2024-12-05,aptitude,"['flair', 'gift', 'instinct', 'nose']"
2172,2024-12-06,colloquial suffixes,"['core', 'gate', 'mania', 'pilled']"
2173,2024-12-06,"“toy story” characters, familiarly","['buzz', 'hamm', 'rex', 'slinky']"
2174,2024-12-06,curse,"['hex', 'jinx', 'pox', 'spell']"
2175,2024-12-06,baffle,"['perplex', 'puzzle', 'stump', 'vex']"
2176,2024-12-07,long___,"['bow', 'fellow', 'horn', 'legs']"
2177,2024-12-07,w.n.b.a. teams,"['liberty', 'storm', 'sun', 'wings']"
2178,2024-12-07,ways to attract fish,"['bait', 'chum', 'fly', 'lure']"
2179,2024-12-07,think of together,"['affiliate', 'associate', 'equate', 'relate']"
2180,2024-12-08,homophones of music genres,"['indy', 'mettle', 'seoul', 'wrap']"
2181,2024-12-08,companies named after animals,"['caterpillar', 'dove', 'greyhound', 'puma']"
2182,2024-12-08,cram,"['sandwich', 'shoehorn', 'squeeze', 'wedge']"
2183,2024-12-08,punch,"['belt', 'blow', 'sock', 'slug']"
2184,2024-12-09,words after “x”,"['factor', 'files', 'games', 'ray']"
2185,2024-12-09,used to view a biological sample,"['microscope', 'slide', 'specimen', 'stain']"
2186,2024-12-09,used in starting a fire,"['flint', 'lighter', 'magnifying glass', 'matches']"
2187,2024-12-09,deliberation,"['consideration', 'reflection', 'scrutiny', 'thought']"
2188,2024-12-10,countries minus first letter,"['inland', 'olivia', 'ran', 'wanda']"
2189,2024-12-10,feel around (for),"['fish', 'fumble', 'root', 'rummage']"
2190,2024-12-10,parts of a flight,"['cruise', 'takeoff', 'taxi', 'touchdown']"
2191,2024-12-10,give a title to,"['call', 'dub', 'label', 'name']"
2192,2024-12-11,ending in synonyms for “friend”,"['ketchum', 'paypal', 'primate', 'rosebud']"
2193,2024-12-11,proper noun portmanteaux,"['jazzercise', 'paralympics', 'pokémon', 'wikipedia']"
2194,2024-12-11,things you shake,"['hairspray', 'magic 8 ball', 'salad dressing', 'snowglobe']"
2195,2024-12-11,utopia,"['paradise', 'seventh heaven', 'shangri-la', 'xanadu']"
2196,2024-12-12,parts of a river,"['bank', 'bed', 'delta', 'mouth']"
2197,2024-12-12,mild oaths,"['fudge', 'geez', 'nuts', 'rats']"
2198,2024-12-12,objects with teeth,"['comb', 'gear', 'saw', 'zipper']"
2199,2024-12-12,"things that sound like ""t""","['tea', 'tee (golf)', 'tee (shirt)', 'ti (musical note)']"
2200,2024-12-13,animal homophones,"['bore', 'links', 'phish', 'towed']"
2201,2024-12-13,citrus sodas,"['crush', 'sprite', 'squirt', 'starry']"
2202,2024-12-13,email folders,"['drafts', 'sent', 'spam', 'trash']"
2203,2024-12-13,fantasy creatures,"['dragon', 'giant', 'pixie', 'troll']"
2204,2024-12-14,words before “cup”,"['butter', 'diva', 'solo', 'world']"
2205,2024-12-14,global currencies,"['pound', 'real', 'sol', 'yuan']"
2206,2024-12-14,words in an auction-ending phrase,"['going', 'once', 'sold', 'twice']"
2207,2024-12-14,fish,"['fluke', 'mullet', 'sole', 'tang']"
2208,2024-12-15,pop singers minus “s”,"['key', 'mar', 'spear', 'style']"
